campaign_id,ad_id,impressions,clicks,purchases,CTR,Conversion_Rate
1,56,1719,187,17,0.10878417684700407,0.09090909090909091
1,89,1685,191,6,0.11335311572700296,0.031413612565445025
1,132,1641,200,10,0.1218769043266301,0.05
2,38,1756,195,14,0.11104783599088838,0.07179487179487179
2,52,1714,197,8,0.11493582263710618,0.04060913705583756
2,140,1785,207,9,0.11596638655462185,0.043478260869565216
3,19,1686,194,9,0.11506524317912219,0.04639175257731959
3,63,1670,202,13,0.12095808383233533,0.06435643564356436
3,98,1662,189,11,0.11371841155234658,0.0582010582010582
3,175,1693,198,8,0.11695215593620792,0.04040404040404041
4,27,1738,199,6,0.1144994246260069,0.03015075376884422
4,65,1731,191,10,0.11034084344309647,0.05235602094240838
4,77,1663,186,13,0.11184606133493687,0.06989247311827956
4,92,1692,196,6,0.11583924349881797,0.030612244897959183
4,116,1727,195,5,0.1129125651418645,0.02564102564102564
4,146,1698,211,9,0.12426383981154299,0.04265402843601896
5,50,1754,214,8,0.12200684150513112,0.037383177570093455
5,179,1686,177,16,0.10498220640569395,0.0903954802259887
5,193,1661,192,10,0.11559301625526791,0.052083333333333336
6,13,1716,188,16,0.10955710955710955,0.0851063829787234
6,162,1704,187,7,0.10974178403755869,0.0374331550802139
6,165,1701,197,10,0.11581422692533803,0.050761421319796954
7,136,1659,212,13,0.12778782399035563,0.06132075471698113
7,137,1657,190,11,0.11466505733252867,0.05789473684210526
7,138,1686,203,9,0.12040332147093713,0.04433497536945813
8,84,1708,197,8,0.11533957845433256,0.04060913705583756
8,99,1681,211,7,0.1255205234979179,0.03317535545023697
8,109,1679,193,8,0.11494937462775462,0.04145077720207254
8,118,1725,178,10,0.10318840579710145,0.056179775280898875
8,148,1709,216,14,0.12638970157987128,0.06481481481481481
9,7,1675,197,8,0.11761194029850747,0.04060913705583756
9,172,1689,189,12,0.11190053285968028,0.06349206349206349
9,186,1797,208,13,0.11574846967167501,0.0625
9,188,1735,215,7,0.1239193083573487,0.03255813953488372
9,195,1756,199,8,0.1133257403189066,0.04020100502512563
9,197,1691,215,13,0.12714370195150798,0.06046511627906977
10,46,1678,176,14,0.10488676996424315,0.07954545454545454
10,122,1698,209,17,0.12308598351001178,0.08133971291866028
10,129,1643,187,12,0.11381618989653074,0.06417112299465241
10,143,1642,191,8,0.11632155907429964,0.041884816753926704
11,49,1726,203,12,0.11761297798377753,0.059113300492610835
11,76,1665,207,13,0.12432432432432433,0.06280193236714976
11,149,1704,208,12,0.12206572769953052,0.057692307692307696
12,139,1719,229,11,0.133216986620128,0.048034934497816595
12,196,1691,212,5,0.12536960378474277,0.02358490566037736
13,8,1709,206,9,0.12053832650672908,0.043689320388349516
13,53,1739,199,15,0.1144335825186889,0.07537688442211055
13,69,1692,205,11,0.12115839243498817,0.05365853658536585
13,159,1744,206,8,0.11811926605504587,0.038834951456310676
13,171,1686,196,11,0.1162514827995255,0.05612244897959184
13,176,1761,198,10,0.11243611584327087,0.050505050505050504
14,94,1639,180,15,0.10982306284319707,0.08333333333333333
14,166,1674,198,7,0.11827956989247312,0.03535353535353535
15,33,1664,201,8,0.12079326923076923,0.03980099502487562
15,112,1724,207,7,0.12006960556844548,0.033816425120772944
15,113,1673,212,5,0.12671846981470414,0.02358490566037736
15,161,1681,183,13,0.10886377156454491,0.07103825136612021
15,199,1699,198,9,0.11653914067098294,0.045454545454545456
17,10,1692,186,10,0.1099290780141844,0.053763440860215055
17,47,1663,213,13,0.1280817799158148,0.06103286384976526
17,68,1617,230,15,0.1422387136672851,0.06521739130434782
17,74,1674,209,7,0.12485065710872162,0.03349282296650718
17,79,1718,207,15,0.12048894062863795,0.07246376811594203
17,120,1699,209,13,0.12301353737492643,0.06220095693779904
17,131,1702,188,8,0.11045828437132785,0.0425531914893617
17,169,1741,204,10,0.11717403790924756,0.049019607843137254
18,16,1655,184,8,0.11117824773413898,0.043478260869565216
18,35,1708,190,5,0.11124121779859485,0.02631578947368421
18,90,1678,221,8,0.13170441001191896,0.03619909502262444
19,42,1683,196,8,0.11645870469399881,0.04081632653061224
19,191,1710,223,6,0.1304093567251462,0.026905829596412557
20,3,1655,225,13,0.13595166163141995,0.057777777777777775
20,62,1711,189,12,0.11046171829339567,0.06349206349206349
20,85,1748,216,13,0.12356979405034325,0.06018518518518518
20,86,1648,207,7,0.12560679611650485,0.033816425120772944
20,88,1678,185,9,0.1102502979737783,0.04864864864864865
20,104,1777,211,9,0.11873944850872256,0.04265402843601896
20,145,1646,239,4,0.14520048602673147,0.016736401673640166
20,183,1744,186,6,0.10665137614678899,0.03225806451612903
21,14,1688,214,14,0.12677725118483413,0.06542056074766354
21,31,1672,186,15,0.11124401913875598,0.08064516129032258
21,40,1674,202,12,0.12066905615292713,0.0594059405940594
21,71,1684,209,8,0.12410926365795724,0.03827751196172249
22,21,1668,219,7,0.13129496402877697,0.0319634703196347
22,66,1756,218,15,0.12414578587699317,0.06880733944954129
22,103,1742,199,11,0.11423650975889782,0.05527638190954774
22,106,1706,232,12,0.13599062133645956,0.05172413793103448
22,130,1641,216,6,0.1316270566727605,0.027777777777777776
23,24,1640,176,13,0.1073170731707317,0.07386363636363637
23,29,1641,225,17,0.13711151736745886,0.07555555555555556
23,110,1730,204,12,0.11791907514450867,0.058823529411764705
24,5,1693,211,11,0.12463083284111046,0.052132701421800945
24,82,1668,205,13,0.12290167865707434,0.06341463414634146
24,96,1672,210,11,0.1255980861244019,0.05238095238095238
24,115,1711,195,4,0.11396843950905904,0.020512820512820513
24,150,1699,204,13,0.12007062978222484,0.06372549019607843
24,152,1707,177,8,0.10369068541300527,0.04519774011299435
24,158,1739,166,10,0.09545715928694652,0.060240963855421686
24,178,1749,205,11,0.11720983419096627,0.05365853658536585
25,105,1756,209,11,0.11902050113895217,0.05263157894736842
25,107,1702,177,7,0.10399529964747356,0.03954802259887006
25,121,1741,201,13,0.1154508902929351,0.06467661691542288
25,134,1744,198,8,0.11353211009174312,0.04040404040404041
25,164,1723,213,13,0.12362159024956472,0.06103286384976526
26,34,1685,194,10,0.11513353115727003,0.05154639175257732
26,51,1748,188,14,0.10755148741418764,0.07446808510638298
26,78,1691,182,13,0.10762862211709048,0.07142857142857142
27,154,1676,194,18,0.11575178997613365,0.09278350515463918
27,174,1647,199,15,0.12082574377656345,0.07537688442211055
28,1,1743,212,8,0.12162937464142283,0.03773584905660377
28,4,1737,198,12,0.11398963730569948,0.06060606060606061
28,15,1657,198,10,0.11949305974652988,0.050505050505050504
29,25,1698,206,14,0.12131919905771496,0.06796116504854369
29,32,1727,191,6,0.11059640995946729,0.031413612565445025
29,54,1679,207,5,0.1232876712328767,0.024154589371980676
29,81,1603,215,10,0.13412351840299438,0.046511627906976744
29,83,1649,210,10,0.12734990903577925,0.047619047619047616
29,142,1679,189,6,0.1125670041691483,0.031746031746031744
29,163,1669,206,7,0.12342720191731575,0.03398058252427184
30,18,1664,219,9,0.13161057692307693,0.0410958904109589
30,22,1769,202,13,0.1141888072357264,0.06435643564356436
30,133,1660,206,12,0.12409638554216867,0.05825242718446602
30,155,1687,209,8,0.12388855957320688,0.03827751196172249
31,59,1700,199,15,0.11705882352941177,0.07537688442211055
31,87,1700,196,14,0.11529411764705882,0.07142857142857142
31,187,1635,194,13,0.11865443425076452,0.06701030927835051
32,57,1747,200,10,0.11448196908986835,0.05
32,72,1719,216,2,0.1256544502617801,0.009259259259259259
32,125,1797,176,7,0.09794101279910963,0.03977272727272727
32,157,1673,209,8,0.12492528392109982,0.03827751196172249
33,2,1751,205,13,0.11707595659623073,0.06341463414634146
33,6,1746,234,10,0.13402061855670103,0.042735042735042736
33,23,1705,196,9,0.11495601173020528,0.04591836734693878
33,64,1747,192,13,0.10990269032627362,0.06770833333333333
33,123,1743,179,12,0.10269650028686174,0.0670391061452514
33,156,1660,215,12,0.12951807228915663,0.05581395348837209
33,190,1691,176,16,0.10408042578356003,0.09090909090909091
34,39,1653,194,14,0.11736237144585603,0.07216494845360824
34,93,1752,207,13,0.11815068493150685,0.06280193236714976
34,124,1752,216,10,0.1232876712328767,0.046296296296296294
34,144,1652,211,5,0.12772397094430993,0.023696682464454975
34,151,1728,208,12,0.12037037037037036,0.057692307692307696
34,198,1668,205,14,0.12290167865707434,0.06829268292682927
35,43,1686,199,11,0.11803084223013048,0.05527638190954774
36,95,1689,209,3,0.12374185908821789,0.014354066985645933
36,185,1735,200,7,0.11527377521613832,0.035
37,11,1725,200,9,0.11594202898550725,0.045
37,36,1700,179,12,0.10529411764705883,0.0670391061452514
37,75,1686,202,11,0.11981020166073547,0.054455445544554455
37,91,1739,195,11,0.11213341000575043,0.05641025641025641
37,108,1671,200,8,0.11968880909634949,0.04
37,181,1702,200,6,0.11750881316098707,0.03
38,20,1664,225,8,0.13521634615384615,0.035555555555555556
38,41,1734,197,10,0.11361014994232987,0.050761421319796954
38,45,1729,185,12,0.10699826489300174,0.06486486486486487
